subject,relation,object
Nagpur Metro Rail,has part,Congress Nagar
Come and Get It,composer,Paul McCartney
Kool & The Gang,has part,Ronald Bell
Turnberry Lighthouse,color,white
instant messaging,subclass of,software
Folsom Library,part of,Rensselaer Libraries
Medtronic plc,replaces,Omar Ishrak
Taliban,chairperson,Akhtar Mansour
Queens,determination method,census
Mangkunegara IX,country of citizenship,Indonesia
B. Wayne Hughes,place of death,Lexington
Benoît Genecand,place of death,Geneva
Makihiro Motomiya,participant in,2020 Summer Olympics
Islamic Emirate of Afghanistan,replaced by,Abdullah Abdullah
San Jose,different from,San José
Ahmedabad Metro,has part,Amraiwadi
Percha Leanpuri,languages spoken written or signed,Indonesian
women in Africa,subclass of,gender role
Belsat TV,language of work or name,Polish
Radio 1's Big Weekend,location,United Kingdom
Krzysztof Szczerski,position held,permanent representative
Stephen Boock,country for sport,New Zealand
Christina Ricci,unmarried partner,Owen Benjamin
Edvard August Vainio,languages spoken written or signed,Swedish
LA Current,sport,swimming
James Franklin,country for sport,New Zealand
Valeriane Gvilia,member of sports team,Raków Częstochowa
Our Lady of the Redwoods Abbey,instance of,monastery
Sunao Tokunaga,notable work,Taiyō no nai Machi
Office of Public Works,different from,OPW
Lisa Kudrow,residence,Encino
Giriyanapalya,located in the administrative territorial entity,Karnataka
Stanislav Hanzík,language of work or name,German
Transbaikal State University,located in the administrative territorial entity,Chita
Balázs Orbán,occupation,lawyer
L'estro Armonico,form of creative work,concerto grosso
Iyad Shalabi,occupation,swimmer
asphalt,subclass of,bitumen
Dmitry Zhirnov,occupation,diplomat
Róża Kozakowska,occupation,paralympic athlete
neo-Nazism,political alignment,far-right
Harpers Ferry,located in or next to body of water,Potomac River
verse,different from,poem
Edvard August Vainio,located in the administrative territorial entity,Finland
The Last Roundup,has part,A Star Called Henry
electrum,different from,amber
Efkan Ala,position held,Governor of Batman
German reunification,different from,Unification of Germany
Brunetto Brunetti,languages spoken written or signed,Italian
Brian Martin,educated at,University of Sydney
Siti Sarah,occupation,singer
Shakib Al Hasan,country for sport,Bangladesh
The Human Stain,genre,novel
Sonny Chiba,cause of death,COVID-19
Thalaivi,screenwriter,Madhan Karky
Mohammed Omar,member of political party,Taliban
Janet Carnochan,country of citizenship,Canada
science fiction film,instance of,science fiction genre
Shang-Chi and the Legend of the Ten Rings,cast member,Ben Kingsley
Zonia Baber,educated at,Chicago State University
Ahmed El-Gendy,sport,modern pentathlon
Gabri García,coach of sports team,FC Andorra
Billy Power,given name,Ward
Coffee Crisp,country of origin,Canada
Abrdn,chairperson,Sir Douglas Flint
Óscar García Junyent,coach of sports team,Olympiacos F.C.
Hans Erik Deckert,languages spoken written or signed,German
Sokratis Papastathopoulos,participant in,2020 FA Cup Final
Edvard August Vainio,languages spoken written or signed,Finnish
Luise Reuter,languages spoken written or signed,German
Graham Manou,country for sport,Australia
Sabina Ajrula,notable work,Eşkıya Dünyaya Hükümdar Olmaz
Gordon MacRae,time period,20th century
Governor of New York,officeholder,Kathy Hochul
Purgatorio,language of work or name,Tuscan
Hristo Stoichkov,subject has role,winger
Leon Bailey,league,Premier League
Adolf von Glümer,military rank,lieutenant
Mark Malyar,participant in,2020 Summer Paralympics
Sarah Speight,award received,Lord Dearing Award
The Orkney Museum,headquarters location,Kirkwall
Owen L. W. Smith,occupation,teacher
Anice Terhune,occupation,church organist
Heinrich Gattermeyer,languages spoken written or signed,German
Wes Miller,occupation,head coach
Tristan Thompson,child,2
Petr Pimashkov,place of death,Sochi
Heinosuke Gosho,located in the administrative territorial entity,Tokyo
Hanna Brummenæs,place of birth,Haugesund
Grace Davidson,instrument,soprano
Emma McKeon,participant in,2020 Summer Olympics
Volt Europa,subsidiary,Volt Netherlands
Louis Sutherland,academic degree,Bachelor of Performing Arts (Acting)
Devra Davis,given name,Lee
Shinji Okazaki,member of sports team,FC Cartagena
Adam Peaty,member of sports team,London Roar
capitalism,significant event,Industrial Revolution
Ziggy Marley,object has role,name
Elizabeth Mary Chiarella,occupation,nurse
Grupo Arcor,owner of,Chocolate Aguila
Serguéi Vladímirovich Orlov,occupation,astrophysicist
An-Nur Mosque,located in the administrative territorial entity,Dili
Jordyn Poulter,residence,Aurora
Damer Theatre,located in the administrative territorial entity,Dublin
A$AP Rocky,unmarried partner,Rihanna
Faber-Castell,owned by,Kaspar Faber
Tennessee,of,Knox County
Elvira Moya de Guerra,languages spoken written or signed,Spanish
Rainer W. Bussmann,occupation,researcher
Knives Out,distribution format,CD single
Shirin Ebadi,religion,Islam
pyrokinesis,facet of,fire
Free Guy,cast member,Jacksepticeye
Nagano Castle (Tsu),country,Japan
Soka Gakkai,founded by,Jōsei Toda
Jonathan Ruvalcaba,country of citizenship,Dominican Republic
Balwan Poonia,country of citizenship,India
Buwan ng Wika,country,Philippines
Amphiprioninae,subclass of,fish
Islamic Emirate of Afghanistan,significant event,War in Afghanistan
Chang Chin-cheng,educated at,University of London
Tom Moody,country for sport,Australia
Levantine Arabic,subclass of,Varieties of Arabic
Tenth Night,country of origin,Iran
Nam Cheong Street,located in the administrative territorial entity,Sham Shui Po District
Julie James,sibling,Aphex Twin
Agustín de Luque y Coca,electoral district,Lugo
Jakarta,of,Indonesia
Easy,record label,EMI
Peace on Earth/Little Drummer Boy,record label,RCA
Hanasaari Swedish-Finnish cultural centre,country,Finland
Ohio,different from,Dayton
2021 US Open,located in the administrative territorial entity,New York City
Pity Martínez,country for sport,Argentina
Wonderwall Music,place of publication,United Kingdom
Turnberry Lighthouse,publisher,Northern Lighthouse Board
academic degree,has part,Bachelor of Laws
Dancing Queen,has quality,music video
Ashio Copper Mine,significant event,1907 Ashio riot
L'elisir d'amore,different from,Love potion
Yungblud,unmarried partner,Halsey
HMS Gästrikland,manufacturer,Götaverken
Hololive Production,has part,IRyS
Behzad Bolour,languages spoken written or signed,Persian
sustainability,described by source,Sustainable Development Goals
Belsat TV,language of work or name,Russian
Nathaniel H. Harris,military rank,colonel
Sergei Kovalev,field of work,human rights
Vartija,country of origin,Finland
Medtronic plc,chief executive officer,Omar Ishrak
Óscar García Junyent,coach of sports team,AS Saint-Étienne
Prunus dulcis,this taxon is source of,almond
Christ myth theory,facet of,historical Jesus
Zhang Yuzhuo,occupation,politician
ABBA,sourcing circumstances,sic
The Jim Henson Company,owner of,Sesame Street
Lydia von Wolfring,country of citizenship,Russian Empire
Yoshiko Iwamoto Wada,occupation,textile artist
Mattia De Sciglio,member of sports team,A.C. Milan
Islamic Emirate of Afghanistan,head of state,Mohammed Omar
Lucille Times,place of death,Montgomery
Ludvig Öhman,member of sports team,Falkenbergs FF
Gubkin University,language of work or name,Russian
Andrew Walls,place of death,Aberdeen
Bill Power,given name,David
Hololive Production,subsidiary,hololive English
Get Santa,set during recurring event,Christmas
Michael Galvin,educated at,Toi Whakaari
Marissa Garrido,genre,telenovela
Mathieu Debuchy,member of sports team,AS Saint-Étienne
Larry Sanger,notable work,Wikipedia
Chatham Center,location,Pittsburgh
Heath Streak,country for sport,Zimbabwe
Suryakumar Yadav,country for sport,India
MixRadio,operating system,iOS
Among Us,publisher,IGN
rugby sevens,location,Scotland
Lempel–Ziv–Welch,different from,LZW
Germán Cueto,child,Mireya Cueto
John Ramsay,given name,Thomas
Hidetaka Sugimura,sport,boccia
Charlie Watts,member of,Rocket 88
Robert Malone,educated at,Northwestern University
Valeria Petrova,sport,table tennis
Vela Manusaute,educated at,Toi Whakaari
Ayanda Dlodlo,replaced by,Malusi Gigaba
Wandsbek,different from,Hamburg
Herbert Heaton,occupation,economic historian
Alvaro Blancarte,occupation,painter
Istanbul Airport,language of work or name,Turkish
Sejong the Great,given name,Do
Natalie Achonwa,participant in,2020 Summer Olympics
Indonesia,direction relative to location,east
Vesper Lynd,occupation,spy
Black Book,stated in,Steam
Andrea Pavani,languages spoken written or signed,Italian
Natalie Medlock,academic degree,Bachelor of Performing Arts (Acting)
2018–19 SHL season,winner,Färjestad BK
Remi Eriksen,educated at,Norwegian Institute of Technology
Jan Stussy,occupation,professor
Anapela Polataivao,academic degree,Bachelor of Performing Arts (Acting)
Uchu Tomita,occupation,swimmer
Tandi Wright,educated at,Toi Whakaari
Alfonso Álvarez Gándara,place of death,Vigo
transport,has effect,air pollution
list of Little Miss characters,main subject,Mr. Men
Governments of the 32nd Dáil,is a list of,Government of Ireland
Martinho da Vila,award received,Latin Grammy Lifetime Achievement Award
Oregon State University,different from,University of Oregon
John Dukakis,father,John Chaffetz
Scottsdale,applies to part,land
Pieter van Maldere,occupation,violinist
Ford Motor Company,instance of,brand
Herbert Engelsing,languages spoken written or signed,German
Teddy Lehman,member of sports team,Oklahoma Sooners
Buckley Space Force Base,military branch,United States Air Force
Leon Berkowitz,has works in the collection,The Phillips Collection
Civitanova Marche,patron saint,Marone
Camaná,different from,Arequipa
Makihiro Motomiya,languages spoken written or signed,Japanese
Thomas Paine,notable work,The Age of Reason
Santa Baby,genre,Christmas music
Hipólito Reyes Larios,place of death,Xalapa
ISIL–Taliban conflict,country,Afghanistan
Ewine van Dishoeck,member of,Pontifical Academy of Sciences
Garth McKenzie,country for sport,Australia
Palestine,has part,Samaria
Keith Spurgeon,place of birth,Borehamwood
Blizzard Entertainment,director / manager,Mike Ybarra
Rana Tarin,occupation,women's rights activist
Shredded Wheat,manufacturer,Post Consumer Brands
Bayshore Route,instance of,racing
ABC News,instance of,news program
Leung Yuk Wing,sport,boccia
Kerri Gowler,ethnic group,Māori
Jordyn Poulter,educated at,Eaglecrest High School
Ohio,different from,Cleveland
Carmen Ryheul,place of birth,Lubumbashi
Mississippi River Trail,located in the administrative territorial entity,Minnesota
Great Mongol Shahnameh,language of work or name,Persian
Zinedine Zidane,coach of sports team,Real Madrid Castilla
Kirk Torrance,academic degree,Bachelor of Performing Arts (Acting)
Laetitia Beck,country for sport,Israel
Hesperidina,instance of,brand
Jessica Hull,country of citizenship,Australia
Naoki Matsumoto,country of citizenship,Japan
Boris Yeltsin,residence,Butka
Isaac Ngahane,place of death,Douala
Richmond Football Club,home venue,Punt Road Oval
Mike the Headless Chicken,place of death,Arizona
Second Cabinet of Najib Mikati,applies to jurisdiction,Beirut
Judy Kensley McKie,place of birth,Boston
Pedro Pichardo,sport,triple jump
sustainable agriculture,part of,sustainability
Frank Rijkaard,subject has role,assistant coach
biorobotics,instance of,sociology
The Expanse,narrative location,Solar System
Darah-ye Rustam,located in the administrative territorial entity,Bamyan
Nguyễn Thúy Hiền,participant in,1993 World Wushu Championships
Katie Hayward,participant in,2020 Summer Olympics
Annette Quijano,place of birth,New Jersey
Mario Sanchez,member of sports team,Fresno State Bulldogs men's soccer
Claire Cross,employer,University of Reading
Space Jam,characters,Michael Jordan
Moby Dick,director,Park In-je
Efkan Ala,position held,Governor of Diyarbakır
Tessy Antony de Nassau,child,Theodor
Mel Baggs,given name,Amelia
Helen Lempriere,occupation,sculptor
Pobisk Kuznetsov,occupation,engineer
Ihor Musiyenko,country of citizenship,Ukraine
Gonabad University of Medical Sciences,country,Iran
Jan Stussy,place of death,Brentwood
Óscar García Junyent,coach of sports team,FC Barcelona
Russell's paradox,studied by,set theory
Dimitry Bertaud,given name,Sylvain
Denha I,position held,patriarch
Skövde,instance of,city
Georges Garvarentz,field of work,film score
Shane Long,member of sports team,AFC Bournemouth
Daniil Medvedev,participant in,2020 Summer Olympics
President of Iran,officeholder,Ebrahim Raisi
Volt Europa,subsidiary,Volt Malta
Jesper Lindstrøm,member of sports team,Eintracht Frankfurt
Mauritania,different from,Mauretania
Kenan Kodro,member of sports team,Fehérvár FC
A Star Is Born,instance of,film
Stefano Morona,occupation,curler
Transbaikal State University,headquarters location,Chita
Vincent Collet,member of sports team,Metropolitans 92
Ion Iliescu,occupation,author
Holly Smale,medical condition,dyscalculia
Aaliyah,eye color,brown
Central Asia,has part,Kyrgyzstan
Najma Chowdhury,place of death,Dhaka
Natalie Portman,country,Israel
Linoy Ashram,award received,bronze medal
U.S. Bicycle Route 21,located in the administrative territorial entity,Ohio
Marcell Jacobs,sports discipline competed in,100 metres
Susannah Scaroni,participant in,2020 Summer Paralympics
Lajim Ukin,place of birth,Sabah
Central Asia,has part,Turkmenistan
Janet Carnochan,occupation,teacher
Gale's,instance of,brand
PlayStation Network,platform,PlayStation 5
Ramona,subject has role,census-designated place
Shrek 2,characters,Puss in Boots
Nguyễn Thúy Hiền,participant in,1999 World Wushu Championships
life,part of,Earth
Sirah Rasul Allah,main subject,Muhammad
Japanese domestic market,different from,JDM
Blizzard Entertainment,director / manager,Jen Oneal
Helen Lempriere,country of citizenship,Australia
Stoliczkia,different from,Stoliczkaia
Reg Grundy Organisation,owned by,Fremantle
Raosaheb Gogte,occupation,lawyer
Edoardo Gorini,languages spoken written or signed,Italian
Adolf von Glümer,military rank,captain
Cathia Uwamahoro,sport,cricket
Sci-Hub,has parts of the class,download
Uchu Tomita,country of citizenship,Japan
Juan Caicedo,sports discipline competed in,discus throw
Gélson Fernandes,member of sports team,Eintracht Frankfurt
Ashton Roskill,occupation,barrister
Pierre Kaufmann,educated at,Leiden University
Lodz University of Technology,language of work or name,Polish
Helen Loney,employer,University of Glasgow
Awoulaba,instance of,term
Evander Kane,end cause,divorce
Karen L Wiebe,occupation,ornithologist
Shredded Wheat,instance of,brand
Joe Trohman,member of,Fall Out Boy
Ben Affleck,published in,Jenny from the Block
Liu Hung,cause of death,pancreatic cancer
diminished seventh chord,different from,diminished triad
Frederico Trajano Inácio Rodrigues,educated at,Stanford University
Óscar García Junyent,coach of sports team,FC Red Bull Salzburg
Antonio Lorenzoni,languages spoken written or signed,Italian
Kurt Cobain,notable work,Smells Like Teen Spirit
Smallfoot,characters,Migo
Alberto Moreno,of,UEFA Super Cup
Beltrami identity,instance of,Euler–Lagrange equation
Salah Zulfikar,occupation,police officer
Fred van Leer,occupation,drag queen
Nintendo Network,platform,Nintendo 3DS family
Suzanne Valadon,place of death,Paris
Jeff Radebe,position held,Minister of Energy
Antonio Lorenzoni,occupation,music theorist
Eisig Silberschlag,employer,Hebrew College
Islamic Republic of Afghanistan,head of state,Ashraf Ghani
Jan Stussy,has works in the collection,Museum of Modern Art
United Federation of Planets,described by source,The Federation
Ameryst Alston,member of sports team,New York Liberty
Patricia de Lille,position held,Minister of Public Works
Islamic Emirate of Afghanistan,participant in,War in Afghanistan
Leda Cosmides,award received,Jean Nicod Prize
electric car,has part,battery
Beijing,different from,Pekin
Ísak Bergmann Jóhannesson,member of sports team,F.C. Copenhagen
Michał Kokoszanek,languages spoken written or signed,Polish
Adolf von Glümer,military rank,colonel
Book of Days,composer,Enya
TwoFlex,country,Brazil
Pil Trafa,place of death,Ate
Dead Sea,instance of,lake
WhatsApp,platform,Android
EMTÉ,product or material produced,supermarket
Badr Hari,languages spoken written or signed,Dutch
Germán Cueto,spouse,Lola Cueto
Thomas Partey,acquisition transaction,transfer
Antía Jácome Couto,languages spoken written or signed,Spanish
Bam University of Medical Sciences,country,Iran
Edvard Schiffauer,country of citizenship,Czechoslovakia
Mere Boynton,occupation,singer
Moscow State University,language of work or name,Russian
Karimanne,located in the administrative territorial entity,Karnataka
Atlantic Charter,location,Newfoundland
Sydney Wignall,occupation,spy
Ernst van de Wetering,place of death,Amsterdam
Helen Lempriere,occupation,painter
Alexander Dennis,product or material produced,bus
Miguel Almirón,country for sport,Paraguay
Jeronima Nava y Saavedra,occupation,nun
Glycine max,instance of,food
Martin Graff,occupation,journalist
Siti Sarah,record label,NAR Records
Zibane Ngozi,sport,athletics
Teodósio Prince of Brazil,country,Portugal
Cabinet of Zoran Tegeltija,country,Bosnia and Herzegovina
Billy Power,given name,Anthony
Adam Musil,occupation,ice hockey player
Hans-Ulrich Rudel,subject has role,friend
Recife,language of work or name,Portuguese
Adolf von Glümer,military rank,major
Fernando Amorebieta,member of sports team,Cerro Porteño
Heinrich Gattermeyer,father,Karl Gattermeyer
Islamic Republic of Afghanistan,significant event,Fall of Kabul
Ryah Ludins,occupation,painter
Shelta,subclass of,Irish
Augusta,different from,Newark
Dagmar Spengler,languages spoken written or signed,German
Alicinha Cavalcanti,place of birth,São José do Rio Preto
Ahlen,different from,Hamm
Haifa,different from,Agra
Jason Todd,character type,supervillain
Thierry Liagre,place of death,Paris
Heggunda,located in the administrative territorial entity,Karnataka
Ruby Ferguson,place of birth,Hebden Bridge
Free Guy,cast member,DanTDM
J. H. Shennan,employer,University of Liverpool
Dimitry Bertaud,given name,Jean
Joseph Kerr,place of birth,Ohio
Cole Pratt,member of sports team,Toronto Titans
Paul Elias Alexander,employer,McMaster University
Kay Bullitt,place of death,Seattle
Gonggar Choide Monastery,religion,Sakya
FernUniversität Hagen,instance of,university
José Arnaldo Ruiz Aragón,parliamentary group,Frente de Todos
Lucas Pérez,member of sports team,Elche CF
Peppermint Crisp,owned by,Nestlé
Gilberto Santa Rosa,award received,Latin Grammy Lifetime Achievement Award
Feng Lanzhou,occupation,entomologist
Charges.com.br,country,Brazil
Yuya Osako,member of sports team,Vissel Kobe
Sony Music Publishing (US) LLC,location of formation,Delaware
Gary Cahill,of,AFC Bournemouth
2015–16 SHL season,winner,Skellefteå AIK
Vegeta,enemy of,Frieza
Assassin's Creed,language of work or name,Russian
Love Lockdown,distribution format,digital download
Gilmour Jenkins,occupation,civil servant
Henry Lau,languages spoken written or signed,Korean
Liu Hung,field of work,painting
Cosmic Cube,named after,tesseract
Michael Andrew,member of sports team,New York Breakers
intergalactic travel,of,intergalactic space
Václav Havel,country,Czechoslovakia
1919 New Year Honours,instance of,award
Newquay,different from,New Quay
Vector Marketing,instance of,subsidiary
Kendrick Nunn,member of sports team,Los Angeles Lakers
East-East,country,Japan
Uchu Tomita,native language,Japanese
Francesc Burrull,occupation,jazz musician
About You Now,part of,Change
Lynda D. Lisabeth,occupation,epidemiologist
Robert Hamer,stated in,Oxford Dictionary of National Biography
Christ myth theory,significant person,Paul-Louis Couchoud
Trolls World Tour,content descriptor,V
Windward Islands,has part,Saint Lucia
Pep Coll,second family name in Spanish name,Martí
Oana Georgeta Simion,country of citizenship,Romania
Jan Stussy,educated at,University of California Los Angeles
feminist theory,subclass of,feminism
Medtronic plc,replaced by,Omar Ishrak
William Demarest,relative,Phyllis Gordon Demarest
Illinois,different from,Springfield
Krzysztof Szczerski,work location,Kraków
Crewe Hall,applies to part,roof
Kitty Dukakis,spouse,John Chaffetz
Yoshinori Muto,of,Vissel Kobe
Jimmy Matthews,country for sport,Australia
Muhyiddin Yassin,position held,Minister of Defence
Jan Stussy,educated at,University of Southern California
Hong Beom-do,country,Joseon
South Asia,has part,Pakistan
Iván de la Peña,member of sports team,Racing de Santander
ISIL–Taliban conflict,location,Afghanistan
Nguyễn Thúy Hiền,participant in,2002 Asian Games
Claude Bourrigault,place of death,Avrillé
Adam Tokarz,languages spoken written or signed,Polish
Félix Verdejo,country,Puerto Rico
Jonathan Williams,member of sports team,Detroit Lions
Natsu no Hana,author,Tamiki Hara
Jan Stussy,student of,Lynton Richards Kistler
The Tower of the Elephant,characters,Yara
Ahmad Shah Massoud,child,Ahmad Massoud
Roll-Out Solar Array,used by,Double Asteroid Redirection Test
gold,language of work or name,Spanish
Christina Applegate,medical condition,multiple sclerosis
wedding,opposite of,divorce
Maggie Steffens,award received,gold medal
Physetica sequens,of,larva
Tito Mboweni,replaced by,Enoch Godongwana
Moldova,head of government,Natalia Gavrilița
Joseph Joestar,kinship to subject,son
Iyad Shalabi,country,Israel
kerosene,use,jet fuel
Jan Hádek,languages spoken written or signed,Czech
Claire Cross,employer,University of York
business,part of,city
John Ambrose,occupation,politician
Salah Zulfikar,award received,Military Medal of Duty
Sombrerete,located in the administrative territorial entity,Zacatecas
Tom de Bruijn,replaces,Sigrid Kaag
alkaloid,subclass of,metabolite
Taliban,headquarters location,Afghanistan
tarka,different from,La Paz
Nagpur Metro Rail,has part,Kasturchand Park
history of Quebec,culture,Québécois
Second Azarov Government,applies to jurisdiction,Ukraine
Hristo Stoichkov,position played on team / speciality,coach
Michele K. Evans,academic major,biology
Junaid Babunagari,affiliation,Islam
Griffin's Foods,product or material produced,cracker
Roman Zozulya,member of sports team,CF Fuenlabrada
Yip Pin Xiu,educated at,Bendemeer Secondary School
Laura M. Calvi,occupation,neuroendocrinologist
Quinn,sex or gender,non-binary
Islamic Emirate of Afghanistan,head of government,Abdul Ghani Baradar
Yehoshua Zuckerman,student of,Zvi Yehuda Kook
Yuri Semin,child,Andrei Syomin
Scoob!,characters,Cerberus
The Witch and the Beast,instance of,manga series
Islamic Republic of Afghanistan,capital,Kabul
Bill Ralston,given name,William
Sardar Azmoun,languages spoken written or signed,Turkmen
Sinead Diver,participant in,2020 Summer Olympics
Earth analog,subclass of,terrestrial planet
Aline Rotter-Focken,victory,2020 Summer Olympics
Ludwig van Beethoven,genre,piano sonata
Uchu Tomita,languages spoken written or signed,Japanese
leopard,different from,Panthera
Kévin Rodrigues,member of sports team,Rayo Vallecano
Alexander Roitburd,place of death,Odessa
Toy Story 2,character role,Al McWhiggin
Gábor Fabricius,educated at,Central Saint Martins
Fourth cabinet of Viktor Orbán,applies to jurisdiction,Hungary
Ben Barrington,educated at,Toi Whakaari
Siti Sarah,cause of death,COVID-19
Communist League,country,Brazil
Jochen Ulrich,languages spoken written or signed,German
Tulva,editor-in-chief,Tero Kartastenpää
Yanti Kusmiati,place of birth,Bogor
Rina Sawayama,languages spoken written or signed,Japanese
Mehedi Hasan,country for sport,Bangladesh
L'estro Armonico,composer,Antonio Vivaldi
Jochen Roller,languages spoken written or signed,German
Mo Hayder,said to be the same as,Candy Davis
Russia,subject has role,dissolution of the Soviet Union
Pierre Dutot,languages spoken written or signed,French
Xiajiasi Reservoir,located in the administrative territorial entity,Huangpi District
Sydney Wignall,occupation,archaeologist
Siebenberg House,country,East Jerusalem
Palestine,has part,Judea
First French Empire,office held by head of state,Emperor of the French
Ellyse Perry,country for sport,Australia
William J. Devlin,of,Regis High School
Leroy Fer,member of sports team,Feyenoord
The Creation of Adam,instance of,painting
UB40,object has role,saxophonist
sinker,sport,baseball
Nilla Wafers,instance of,brand
Tanisha Crasto,country for sport,India
Bill Ralston,conflict,World War II
Governments of the 30th Dáil,applies to jurisdiction,Ireland
Belsat TV,language of work or name,Belarusian
Jenna Suokko,place of birth,Tampere
Zac Goldsmith,stated in,The Guardian
Islam Slimani,country of citizenship,Algeria
Baranagore Ramakrishna Mission Ashrama High School,inferred from,Baranagar
Crewe Hall,applies to part,wall
human rights,follows,race
National Rally,language of work or name,French
Lakkuru,located in the administrative territorial entity,Karnataka
Caroline Peyton,place of death,Nashville
Formula Renault,organizer,Renault Sport
Philippa Campbell,country of citizenship,New Zealand
Chavelit,occupation,singer
Chto Delat?,has part,Gluklya
Kathleen Ophir Theodora Parbury,occupation,sculptor
Lonah Chemtai Salpeter,country of citizenship,Kenya
Podargidae,parent taxon,Podargiformes
Jed Brophy,educated at,Toi Whakaari
Harley Quinn,character type,supervillain
Dasenahalli,located in the administrative territorial entity,Karnataka
Jenna Suokko,member of sports team,Buffalo Beauts
arianism,opposite of,Trinity
Super Metroid,followed by,Metroid Fusion
Kuwait City,shares border with,Iran
Love is not Closed,country of origin,Iran
Emmanuel,award received,Latin Grammy Lifetime Achievement Award
Davao City,different from,Davao Region
Ayanda Dlodlo,position held,Minister of State Security
Chuu,occupation,singer
Lucie Arnaz,residence,Los Angeles
Alice's Adventures in Wonderland,different from,Alice in Wonderland
Kannur,different from,Cebu
marriage in the United States,country,Kansas
Monster Hunter,content descriptor,V
Tag,content descriptor,D
Lucas Plapp,participant in,2020 Summer Olympics
Tennys Sandgren,participant in,2020 Summer Olympics
Melissa Wu,country for sport,Australia
Megan Fox,place of birth,Los Angeles
Gerd Müller,place of death,Wolfratshausen
Virgin Media One,together with,Element Pictures
Lauttasaaren silta,named after,Lauttasaari
