subject,relation,object
Antichrist,opposite of,Jesus
photosynthesis,uses,sunlight
Any Gabrielly,native language,Portuguese
Relax,part of,Welcome to the Pleasuredome
academic degree,has part,Bachelor of Business Administration
Shang-Chi and the Legend of the Ten Rings,cast member,Jodi Long
Vera Zelinskaya,occupation,production designer
Silvia Rodríguez Villamil,occupation,activist
MixRadio,operating system,Harman Kardon
double electron capture,subclass of,double beta decay
Rowntree Mackintosh Confectionery,instance of,business
Polly Waffle,instance of,brand
The Jim Henson Company,owner of,Fraggle Rock
Milwaukee Road class EF-4 and EP-4,operator,Brazil
Balázs Orbán,occupation,political scientist
The Last Roundup,has part,Oh Play That Thing!
Cigarettes After Sex,location of formation,El Paso
Hong Beom-do,country,Soviet Union
Islamic Republic of Afghanistan,head of government,Abdullah Abdullah
Insular Oceania,instance of,area
Mario Arisio,languages spoken written or signed,Italian
Megan Rapinoe,award received,bronze medal
Afghanistan,applies to part,regional language
Neal Conan,cause of death,glioblastoma
Prague,capital of,Bohemia
José Berríos,member of sports team,Toronto Blue Jays
Youthful Days,country of origin,Iran
V-2 rocket,different from,V2
Aimee Knight,medical condition,attention deficit hyperactivity disorder
Nguyễn Thúy Hiền,participant in,2001 Southeast Asian Games
Cole Pratt,country of citizenship,Canada
Zoë Lund,mother,Barbara Lekberg
Herbert Morrison,replaces,Ernest Bevin
Dimitris Kitsikis,field of work,geopolitics
Sabina Ajrula,native language,Turkish
Christopher Anstey,country,Great Britain
Sikandar Raza,country for sport,Zimbabwe
Christ myth theory,facet of,historicity of Jesus
Bangladesh,official religion,Islam
John Mitchell,given name,Whitehead
Lior Raz,country,Israel
South Asia,has part,Bangladesh
Soerjadi Soedirdja,place of death,Jakarta
Chto Delat?,has part,Aleksandr Skidan
Pietro Pinna Parpaglia,member of,National Council
Darah-ye Rustam,instance of,valley
A Sleep of Prisoners,instance of,play
Turnberry Lighthouse,made from material,iron
Antonio Lorenzoni,country of citizenship,Italy
Gretna Green railway station,operator,Glasgow Dumfries and Carlisle Railway
MewithoutYou,has part,Aaron Weiss
Yves de Wasseige,place of death,Marcinelle
Joanie Loves Chachi,based on,Happy Days
Islamic Emirate of Afghanistan,determination method,estimate
Alison Hale,residence,Westport
Billy Power,conflict,World War II
Leap Day,platform,Android
Space Systems Command,part of,Air Force Materiel Command
Brisbane Lions,home venue,Hickey Park
Graham Yallop,country for sport,Australia
Takuya Kai,country for sport,Japan
Branco van den Boomen,member of sports team,Willem II
Fernando Amorebieta,languages spoken written or signed,Basque
Anthony Mahoungou,sport,American football
Zach LaVine,participant in,2020 Summer Olympics
NS 4300,country,Netherlands
Betsy Rivers Jackes,employer,James Cook University
Kenai,applies to part,land
Ryszard Jarzembowski,place of death,Włocławek
John Mitchell,place of birth,Rochdale
Don Quartermain,country of citizenship,Australia
Despicable Me 3,follows,Sing
luminiferous aether,different from,Eter
Lucien Henry,given name,Félix
American Psychological Association,different from,American Psychiatric Association
Kerstin Brachtendorf,country,Germany
Hellas Verona F.C.,head coach,Eusebio Di Francesco
Muhammad Hamza,educated at,University of the Punjab
L'estro Armonico,language of work or name,Italian
Henry Brose,spouse,Jean Robertson
Tai Baribo,country,Israel
Mithun Ali,country for sport,Bangladesh
Ukrainian orthography of 1928,instance of,spelling
Lydia von Wolfring,father,Emil von Wolfring
Fabio Wagner,languages spoken written or signed,German
Magdalena Godia Ibarz,place of death,Lleida
Back to Black,genre,soul music
Andrew Cuomo,replaced by,Kathy Hochul
Sean Lock,publisher,The Guardian
Catherine of Braganza,country,Portugal
Austen Fox Riggs,place of death,Stockbridge
DJ Nira,sport,professional wrestling
Sir William Pryke 1st Baronet,given name,Rob
Youth With You 2,instance of,competition
Robert Valley,place of birth,British Columbia
Second Karzai cabinet,of,Afghanistan
Antonio Te Maioha,academic degree,Bachelor of Performing Arts (Acting)
list of monarchs of Persia,country,Iran
galley,different from,Galera
Lozada,different from,Córdoba
Section 28,country,United Kingdom
Joseph Boczov,native language,Hungarian
Pisagua Department,country,Chile
Mayfield Dairy,product or material produced,milk
Elizabeth Bibesco,family name,Asquith
Mike Carey,place of birth,San Diego
Heldur,language of work or name,Estonian
Michael Cullen,place of death,Whakatāne
Ristinarkku,located in the administrative territorial entity,Tampere
Jessica Hull,participant in,2020 Summer Olympics
UConn Huskies men's soccer,league,NCAA Division I men's soccer
pop music,different from,Disco
Crewe Hall,applies to part,reconstruction
Damon Andrews,educated at,Toi Whakaari
Kai Havertz,of,UEFA Super Cup
Gaston Browne,position held,Minister of Finance
Gaia Weiss,languages spoken written or signed,Polish
Gorka Elustondo,languages spoken written or signed,Spanish
Jeļena Ostapenko,participant in,2020 Summer Olympics
Travellers,country of origin,Ireland
Greater Israel,has part,Palestine
Vega,instance of,brand
Dixie Flyer,located in the administrative territorial entity,Florida
Mel Baggs,given name,Evelyn
Category:Magic words,different from,Como
Pity Martínez,league,Major League Soccer
Sergei Kovalev,place of death,Soviet Union
María Elisa Castro,place of birth,Añatuya
Carma Citrawati,country of citizenship,Indonesia
Star Wars music,main subject,John Williams
Christian Bale,notable work,Terminator Salvation
El Algar,located in the administrative territorial entity,Cartagena
Dimitris Kitsikis,field of work,international relations
Andrei Kalina,country of citizenship,Russia
Johannes Cernota,languages spoken written or signed,German
SubEthaEdit,copyright license,MIT license
Yo Frankie,producer,Dave Edmunds
The Tower of the Elephant,applies to part,Conan
South Asia,has part,India
Mikie Tasei,sport,table tennis
Anna Krivshina,place of birth,Ozyorsk
2020 Summer Paralympics,language of work or name,Russian
Nguyễn Thúy Hiền,participant in,2003 Southeast Asian Games
Star Wars music,object has role,composer
automatic firearm,different from,machine gun
Jordyn Poulter,place of birth,Naperville
Indonesia,located in/on physical feature,Southeast Asia
Zibane Ngozi,country for sport,Botswana
Shane Warne,country for sport,Australia
U.S. Bicycle Route 21,terminus location,Cincinnati
Amrullah Saleh,country of citizenship,Kingdom of Afghanistan
Soumaya Ouerghi,position played on team / speciality,goalkeeper
Qutbism,significant person,Sayyid Qutb
Donald Arthur,place of birth,Northampton
Evelyn Anthony,given name,Patricia
Tom T. Hall,located in the administrative territorial entity,Kentucky
television licence,subclass of,tax
Jimmy Wales,notable work,Wikipedia
Wilfried Van Moer,place of death,Leuven
Mamadouba Toto Camara,country of citizenship,Guinea
Stella Ndabeni-Abrahams,position held,Minister of Small Business Development
Caduceus,instance of,symbol
Flying Passion,country of origin,Iran
Beirut,patron saint,Saint George
Shelley Duvall,unmarried partner,Dan Gilroy
Ezz El Dine Zulficar,sibling,Mahmoud Zulfikar
Stefano Morona,languages spoken written or signed,Italian
Mohammed Ghazali,country for sport,Pakistan
Borden Dairy Company,significant event,bankruptcy
human sacrifice,followed by,race
Thea White,family name,Zitzner
Kieran Gibbs,of,Inter Miami CF
Callan Elliot,educated at,Nelson College
Operation Cyclone,country,Afghanistan
Muhyiddin Yassin,position held,Prime Minister of Malaysia
Sydney Magruder Washington,medical condition,major depressive disorder
The Alchemist,genre,novel
bolívar,different from,Bolivar
Nguyễn Thúy Hiền,award received,bronze medal
Vivo,producer,Lisa Stewart
Space Jam,characters,Daffy Duck
Vivo,distributed by,Netflix
Cai Lun,place of birth,Leiyang
Second Karzai cabinet,country,Afghanistan
Iraq,different from,Kurdistan
Joan Sparkes,sport,bowls
Lorae Parry,educated at,Toi Whakaari
Christ myth theory,significant person,Robert M. Price
Wyandot people,different from,Huron
European Anti-Fraud Office,different from,Olaf
Britney Spears,child,2
Nguyễn Thúy Hiền,participant in,1998 Asian Games
Come and Get It,lyrics by,Paul McCartney
Buckley Space Force Base,military branch,United States Space Force
group 15,has part,bismuth
Halenijagal,located in the administrative territorial entity,Karnataka
La Vie en rose,object has role,CO
Jay Cutler,end cause,divorce
Pilsen,subject has role,census-designated place
Neta Rivkin,country for sport,Israel
Honora Enfield,given name,Alice
Antonio Banderas,family name,Domínguez
La Vie en rose,performer,Marianne Michel
U.S. Bicycle Route 50,partially coincident with,Ohio to Erie Trail
Tanisha Crasto,country of citizenship,India
Guantanamo Bay detention camp,different from,Guantánamo
Nguyễn Thúy Hiền,sport,wushu
Mahatma Gandhi,country of citizenship,India
Jonathan Ruvalcaba,country for sport,Dominican Republic
Gerd Müller,native language,German
John W. Foss,academic degree,Master of Science
Kara Zor-El,family name,Lee
Starbucks,uses,coffeemaker
Owen L. W. Smith,academic degree,Doctor of Divinity
Edvard August Vainio,country,Russian Empire
John Whitmer,father,Peter Whitmer Sr.
Hawaii,different from,Honolulu
Central Asia,has part,Tajikistan
Bedřich Slaný,languages spoken written or signed,Czech
Beach Blvd,genre,punk rock
Zibane Ngozi,country of citizenship,Botswana
Sharad Vesawkar,country for sport,Nepal
Patrick Beverley,member of sports team,Memphis Grizzlies
Ruud Gullit,coach of sports team,Feyenoord
Abdur Razzak,country for sport,Bangladesh
Josefina Mendoza,member of political party,Radical Civic Union
Liu Zhongli,place of birth,Ningbo
C. H. Maidment,place of death,Dublin
kerosene,use,paint
Sonny Chiba,employer,Japan Action Enterprise
Islamic Emirate of Afghanistan,different from,Islamic State of Afghanistan
Michael Venus,together with,Marcus Daniell
Francis Kora,academic degree,Bachelor of Performing Arts (Acting)
Glasgow Central station,operator,Caledonian Railway
Turnberry Lighthouse,applies to part,lantern
Camp Floyd State Park Museum,has part,Fairfield District School
Black Widow,screenwriter,Eric Pearson
Indonesia,located in or next to body of water,Jakarta
James Tito,academic degree,Bachelor of Performing Arts (Acting)
Dom Dwyer,end cause,divorce
Caeleb Dressel,member of sports team,Cali Condors
Raymond Gutierrez,sexual orientation,gay
Pierre Dutot,student,David Guerrier
Second Morrison Ministry,applies to jurisdiction,Australia
Elizabeth Norton,award received,Doctor of Philosophy
Don Quartermain,given name,Donald
Electrontrans,product or material produced,tram
Marcel Dubuisson,given name,Céline
Peppermint Crisp,country,South Africa
Dmitry Zhirnov,country of citizenship,Russia
Josep Samitier,coach of sports team,OGC Nice
Magdalena Godia Ibarz,member of political party,Spanish Socialist Workers' Party
Lucy Wigmore,academic degree,Bachelor of Performing Arts (Acting)
Stockholm Municipality,different from,Oslo
Reebok,parent organization,Authentic Brands Group
hemi engine,subclass of,combustion chamber
Amy Winehouse,place of death,Chase Farm Hospital
Mitchell Marsh,country for sport,Australia
Elvira Moya de Guerra,employer,Massachusetts Institute of Technology
Otto von Habsburg,place of birth,Villa Wartholz
James Loewen,place of death,Bethesda
Fort George G. Meade,different from,Fort Meade
Daniel Urresti,member of political party,Podemos Perú
Uhlerstown–Frenchtown Bridge,stated in,National Register of Historic Places
parallel import,subclass of,importing
Islamic Emirate of Afghanistan,significant event,Fall of Kabul
Don Quartermain,given name,Charles
Lior Ashkenazi,country,Israel
Second Morrison Ministry,country,Australia
César Dall'Orso,given name,Martín
Blake Shelton,unmarried partner,Gwen Stefani
The Bear That Wasn't,instance of,short film
Wei Kexing,member of sports team,Fujitsu SC
Tom T. Hall,genre,bluegrass music
Hasan ibn Ali,position held,Rashidun
Islamic Emirate of Afghanistan,position held,President of Afghanistan
Reichman University,named after,Uriel Reichman
Good to Be Back,screenwriter,Dariush Mehrjui
2020 COVID-19 pandemic in Kerala,has part,vaccination
Christina Applegate,residence,Los Angeles
Funimation,subsidiary,Crunchyroll
Dozhd,located in the administrative territorial entity,Russia
Margaretta Louisa Lemon,place of burial,Reigate
Islamic Emirate of Afghanistan,has cause,War in Afghanistan
Gabri García,coach of sports team,FC Sion
David Alaba,league,Bundesliga
Igor Angulo,member of sports team,Mumbai City FC
Simão Sessim,cause of death,COVID-19
Paweł Charbicki,languages spoken written or signed,Polish
Garrett Hedlund,child,1
SS 221 to 235,operator,Ferrocarril de Langreo
Kourtney Kardashian,unmarried partner,Younes Bendjima
Guy Lewis,member of sports team,Sewanee Tigers football
Space Jam,characters,Nerdlucks
Cyril W. Wilkinson,place of birth,Belfast
Hans-Stieber-Preis,language of work or name,German
Gerry Hazlitt,country for sport,Australia
Nafissatou Thiam,award received,World Athlete of the Year
Pimpri-Chinchwad,determination method,census
Steve Smith,country for sport,Australia
Ed Asner,employer,Screen Actors Guild
Hakainde Hichilema,replaces,Edgar Lungu
Enteles,parent taxon,Curculionidae
Bettina Masuch,languages spoken written or signed,German
Hans-Ulrich Rudel,significant event,Rudel Scandal
Jozef Jan Tuerlinckx,country of citizenship,Belgium
Polly Waffle,subclass of,chocolate bar
Gunpowder Milkshake,distribution format,theatrical release
AB de Villiers,country for sport,South Africa
Anastasia Pavlyuchenkova,together with,Andrey Rublev
hooliganism,subclass of,crime
Anya Taylor-Joy,native language,Spanish
Carmel,determination method,estimate
Al Sinaa Stadium,located in the administrative territorial entity,Baghdad
Levantine Arabic,country,Israel
Kas,instance of,trademark
Krzysztof Szczerski,work location,New York
Abdul Hamid AbuSulayman,field of work,philosophy
Mississippi River Trail,located in the administrative territorial entity,Kentucky
F. C. D. Wyneken,languages spoken written or signed,German
Jonathan Ruvalcaba,sports discipline competed in,diving
Georgia Bulldogs basketball,home venue,Stegeman Coliseum
Ahmedabad Metro,has part,Apparel Park
Bill Studeman,educated at,Elliott School of International Affairs
Belinda Bencic,award received,Olympic silver medal
Hiroki Sakai,of,Urawa Red Diamonds
MixRadio,operating system,Windows Phone
Abrdn,subsidiary,Standard Life
Utqiagvik,different from,Barrow
Tenth Night,screenwriter,Hassan Fathi
Reinhard Kluth,languages spoken written or signed,German
Elvira Moya de Guerra,employer,National University of Distance Education
Polly Waffle,owned by,Nestlé
Blake Shelton,spouse,Gwen Stefani
Sven Erlandsson,sibling,Katarina Erlandsdotter
SYSTEM.INI,instance of,configuration file
O'Higgins (SS-23),country,Chile
Hishammuddin Hussein,replaces,Muhyiddin Yassin
Sabina Ajrula,languages spoken written or signed,Turkish
Hans-Ulrich Rudel,significant person,Josef Mengele
Laurent Tillie,subject has role,coach
George Greville,father,Algernon William Bellingham Greville
Wolfgang Pasquay,languages spoken written or signed,German
Leif Olav Alnes,place of birth,Torvikbukt
Porifera,different from,sponge
Philippines,named after,Manuel L. Quezon
Kyle Mills,country for sport,New Zealand
Abdul Hamid AbuSulayman,field of work,Islam
Islamic Republic of Afghanistan,significant event,Constitution of Afghanistan
Wonder Woman,student of,I Ching
Jovenel Moïse,country,Haiti
U.S. Bicycle Route 21,located in the administrative territorial entity,Kentucky
Carlo Piccoli,languages spoken written or signed,Italian
Kelsey-Lee Barber,country for sport,Australia
L'estro Armonico,place of publication,Amsterdam
Brian Henderson,country of citizenship,Australia
Tag,content descriptor,V
Enoch Brown,member of sports team,Vanderbilt Commodores
Kara Zor-El,given name,Linda
2378-tetrachlorodibenzo-p-dioxin,different from,TCDD
Iyad Shalabi,country of citizenship,Israel
USC Trojans baseball,instance of,baseball team
post-apocalyptic fiction,subclass of,science fiction
Bill Studeman,academic major,history
Elvira Moya de Guerra,employer,University of Zaragoza
Frederika Alexis Cull,country of citizenship,Australia
Ruslan Barsky,country,Israel
Joseph Boczov,languages spoken written or signed,Hungarian
Carlos Ardila Lülle,place of death,Cali
Kala Art Institute,instance of,art gallery
Mississippi River Trail,located in the administrative territorial entity,Tennessee
Broughton RUFC,sports discipline competed in,rugby
Cyrielle Duhamel,languages spoken written or signed,French
Hungarian Grand Prix,winner,Esteban Ocon
U.S. Bicycle Route 21,terminus location,Ohio
Turnberry Lighthouse,applies to part,tower
Shelby,of,Cleveland County
Hidetaka Sugimura,country for sport,Japan
Borden Dairy Company,parent organization,Kohlberg Kravis Roberts
Elvira Moya de Guerra,sex or gender,male
Mirosława Jastrzębska,languages spoken written or signed,Polish
Arianne Cerdeña,sport,bowling
Cameroon,different from,Kamerun
The Risen,instance of,book
Frederick Belding Power,member of,National Academy of Sciences
Free Guy,distributed by,20th Century Studios
John Tobin,child,Patrick Tobin
James Neesham,country for sport,New Zealand
Mark Malyar,country of citizenship,Israel
Eugenia Suárez,unmarried partner,Benjamín Vicuña
Toddy,instance of,brand
The Gun Loaded,screenwriter,Amrollah Ahmadjoo
Kaino Oksanen,place of birth,Tampere
Churchill,designed by,Vauxhall
Islamic Republic of Afghanistan,head of state,Hamid Karzai
Crewe Hall,color,red
Jeff Radebe,position held,Minister of Transport
interjection,different from,!
autonomous spaceport drone ship,operator,McDonough Marine Service
Harry Ralph,conflict,World War II
Shang-Chi and the Legend of the Ten Rings,character role,Trevor Slattery
Würzburg,different from,Fürth
Jean-Jacques Perrey,place of birth,Amiens
Aventura,has part,Lenny Santos
climate change,has part,global warming
Zichariah,different from,Zechariah
Kacper Przybyłko,league,Major League Soccer
David Warner,country for sport,Australia
flight,subclass of,motion
Far from the Madding Crowd,genre,novel
Marco Asensio,place of birth,Calvià
religion,facet of,culture
Jan Stussy,position held,professor
Dalal Abdel Aziz,educated at,Cairo University
Jonathan Ruvalcaba,award received,silver medal
Najma Chowdhury,country,British India
The Song Remains the Same,form of creative work,soundtrack album
Canada,different from,Toronto
Call of Duty,language of work or name,Russian
Ludhiana,determination method,census
Katayama Bokuyo,place of birth,Onomichi
Junaid Babunagari,languages spoken written or signed,Urdu
Carter Burwell,field of work,film score
A Quiet Place: Part II,content descriptor,V
Gale's,owned by,Premier Foods
Tábor,different from,Tabor
C. H. Maidment,place of birth,Dublin
Edinson Cavani,country of citizenship,Uruguay
Maharu Kondo,country of citizenship,Japan
Extraterrestrial,different from,Aurelia
Pamplona,patron saint,Saturnin
matter,different from,Materia
Viktor Scholz,languages spoken written or signed,Russian
Felipe Rivero,conflict,First Carlist War
Zhang Zhupo,subject has role,commentator
Griffin's Foods,product or material produced,confection
Abbey of Morimondo,instance of,monastery
Isma'il Pasha,country of citizenship,Khedivate of Egypt
Cassiel Rousseau,participant in,2020 Summer Olympics
Annette Muller,place of death,Le Blanc-Mesnil
Come and Get It,used by,The Magic Christian
Rocío Aguilar Montoya,country of citizenship,Costa Rica
2020 Formula One World Championship,language of work or name,Spanish
Afghanistan,statement supported by,Taliban
Amanda Stoker,position held,Assistant Minister to the Attorney-General
UB40,has part,Brian Travers
Nguyễn Thúy Hiền,participant in,1994 Asian Games
Poznań,different from,Poznan
Marlon Hairston,member of sports team,Louisville Cardinals men's soccer
Space Jam,characters,Bill Murray
Jean Binta Breeze,cause of death,chronic obstructive pulmonary disease
Sydney Magruder Washington,medical condition,Asperger syndrome
Xiomara De Oliver,educated at,New York University
two-wheeler usage in Japan,instance of,cycling
Thierry Liagre,language of work or name,French
K. Schippers,residence,Amsterdam
ellipse,part of,conic section
Jason Todd,unmarried partner,Donna Troy
Cabinet of Zoran Tegeltija,applies to jurisdiction,Bosnia and Herzegovina
Alton Towers,instance of,castle
Peter McCauley,educated at,Toi Whakaari
Viktor Kovalenko,acquisition transaction,loan
Poland,different from,Lechia
Traveler from India,cast member,Elham Hamidi
Jean Cadenat,languages spoken written or signed,French
Iyad Shalabi,country for sport,Israel
Neal Conan,place of death,Hawaii
Johan van Zyl,cause of death,COVID-19
Trevoh Chalobah,of,UEFA Super Cup
Sahalahti Church Village,country,Finland
Torje Naustdal,position played on team / speciality,midfielder
Larry Elder,given name,Allen
Kane Williamson,country for sport,New Zealand
Richard DeVore,student of,Maija Grotell
Charles Woolley,given name,Campbell
Dyelo Naroda,instance of,newspaper
Badr Hari,native language,Dutch
Stanislav Hanzík,language of work or name,Czech
Martin Graff,place of death,Soultzeren
Abdelhamid Laghouati,languages spoken written or signed,French
MixRadio,operating system,Sonos
Pasir Ris,shares border with,Punggol
Daugavpils,named after,castle
Scoob!,characters,Atom Ant
Viktoria Radeva,sport,chess
Francisco Xavier da Cunha Aragão,languages spoken written or signed,Portuguese
Billy Power,given name,William
Mohsin Ahmad al-Aini,country of citizenship,Yemen Arab Republic
Makihiro Motomiya,country for sport,Japan
Holly Smale,medical condition,endometriosis
Rangimoana Taylor,academic degree,Bachelor of Performing Arts (Acting)
Carrion,platform,PlayStation 4
Holly Smale,medical condition,coeliac disease
Anni Espar,award received,silver medal
kerosene,has part,hydrocarbon
Brooklyn,determination method,census
Brandenburg concertos,language of work or name,French
polytetrafluoroethylene,subclass of,fluoropolymer
Thomas McKay,academic degree,Bachelor of Laws
Valentina Nappi,award received,Penthouse Pet
Thibaut Courtois,kinship to subject,sister
Irena Schusterová,languages spoken written or signed,Slovak
Carlo Daviso di Charvensod,languages spoken written or signed,Italian
Büyük Mecmua,instance of,magazine
Darah-ye Rustam,country,Afghanistan
Filip Ozobić,country of citizenship,Azerbaijan
Susan Orlean,inferred from,The New Yorker
2019 Southeast Asian Games,of,athlete
Leon Litwack,place of death,Berkeley
Channohalli,located in the administrative territorial entity,Karnataka
Marcell Jacobs,sports discipline competed in,60 metres
Allar,language of work or name,Estonian
Jon Bautista,member of sports team,CD Leganés
Yoshinori Muto,member of sports team,Vissel Kobe
rationalism,facet of,international relations
greenhouse gas,has effect,greenhouse effect
Joachim Werzlau,languages spoken written or signed,German
Xiomara De Oliver,educated at,California State University Sacramento
Sonny Chiba,place of death,Kimitsu
Uchu Tomita,country for sport,Japan
Harry Nilsson,located in the administrative territorial entity,New York
Phoebe Keef,place of birth,Amritsar
Tag,content descriptor,L
Tilia,instance of,tree
Tawanda Manyimo,academic degree,Bachelor of Performing Arts (Acting)
Dynamic HTML,has part,JavaScript
Frank Rijkaard,coach of sports team,Sparta Rotterdam
Emiliasd,place of death,San Isidro
Lynton Richards Kistler,employer,UCLA Extension
Aaron Lennon,league,Süper Lig
Jan Stussy,has works in the collection,Norton Simon Museum
Governments of the 32nd Dáil,applies to jurisdiction,Ireland
Monsters at Work,imported from Wikimedia project,Disney+
Shang-Chi and the Legend of the Ten Rings,cast member,Yuen Wah
climate change,studied by,climatology
Emma Roberts,child,1
Sabina Ajrula,languages spoken written or signed,Macedonian
S30 Tupi,country,Brazil
Islamic Emirate of Afghanistan,replaces,Islamic Republic of Afghanistan
Chto Delat?,has part,Alexei Penzin
Laboratoria,founded by,Mariana Costa Checa
Emoinu,sex or gender,male
Takada Yoshie,sport,table tennis
Jan Stussy,has works in the collection,Hammer Museum
Sydney Rigby Wason,military rank,second lieutenant
Liu Shiying,place of birth,Yantai
Holger Badstuber,member of sports team,VfB Stuttgart
Lee Wai Sze,award received,Olympic bronze medal
Lucy Wigmore,educated at,Toi Whakaari
David Shotter,position held,president
Riikka Purra,language of work or name,Finnish
Islamic Emirate of Afghanistan,office held by head of state,President of Afghanistan
Bugadihalli,located in the administrative territorial entity,Karnataka
academic degree,has part,Bachelor of Arts
Gina Bass,participant in,2020 Summer Olympics
Charles Dashwood,military rank,lieutenant
John Mitchell,given name,Thomas
Kathy Hochul,position held,Governor of New York
Jing Wang,native language,Chinese
Patrick Beverley,member of sports team,Minnesota Timberwolves
Jan Bolwell,given name,Patricia
Janie Takeda,sport,softball
Tom de Bruijn,member of political party,Democrats 66
Koki Niwa,country for sport,Japan
Pretty Little Liars,followed by,Ravenswood
Leon Berkowitz,place of birth,Trenton
gin,subclass of,Jenever
Matisse Thybulle,country of citizenship,Australia
Islamic Emirate of Afghanistan,replaced by,Islamic State of Afghanistan
Herbert Heaton,employer,University of Minnesota
European Robotic Arm,part of,Nauka
Liu Hung,place of death,Oakland
Thibaut Courtois,country,Belgium
Rhythm & Romance,genre,new jack swing
Walt Disney Television,parent organization,Disney Television Studios
Jeronima Nava y Saavedra,place of death,Bogotá
Boris Nemtsov,conferred by,Viktor Yushchenko
Zarya,country of origin,Russia
James Campbell,child,Alice Kamokilaikawai Campbell
Islamic Republic of Afghanistan,participant in,War in Afghanistan
Leon Pescheret,educated at,Royal College of Art
MixRadio,operating system,Amazon Appstore
Owen L. W. Smith,allegiance,Union Army
baht,of,silver
Sayyid Qutb,interested in,Islam
Tooncast,country,Brazil
public company,owned by,shareholder
Enzo Facciolo,languages spoken written or signed,Italian
Islamic Republic of Afghanistan,office held by head of state,President of Afghanistan
Indonesia,direction relative to location,west
Richard Konvicka,languages spoken written or signed,Czech
